_componentProfile,resourceClass,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
ToolService,"tool service",1,1,"Meertens Collections: ToolService |1|"
ToponymProfile,"",400,1,"Meertens Collection: Heiloo toponiemen |400|"
TreebankProfile,"",1,1,"Hamburg Dependency Treebank |1|"
TreebankProfile-DLU,"",5,1,"TST-Centrale |5|"
UserSubmission,"",161,1,"Meertens collections: PILNAR |161|"
VALID,"",1265,1,"CLARIN NL : VALID |1265|"
VK-book,"",19,1,"CLARIN Centres |19|"
VK-semantic,"",1,1,"CLARIN Centres |1|"
VU-DNC-profile-20111101,"",1,1,"INL Clarin |1|"
VirtualCollection,"",6,1,"CLARIN Virtual Collection Registry |6|"
WBD,"",1,1,"Dictionary of the Brabantic dialects |1|"
WLD,"",1,1,"Dictionary of the Limburgian dialects |1|"
WebLichtWebService,"web service",300,5,"CLARIN Centres |40| # HZSK Webservices |7| # LINDAT / CLARIN Web Services |4|"
Website,"web application",1,1,"Meertens collection: PILNAR |1|"
collection,"collection",3271,3,"ARCHE |1| # CLARIN Centres |587| # TalkBank |2683|"
corpusProfile,"text,corpus",49,3,"CLARINO Bergen Centre |5| # CLARINO NB – Språkbanken |28| # Clarino - Textlab |16|"
data,"",841,4,"CLARINO Bergen Centre |8| # LINDAT / CLARIN Data & Tools |125| # LRT + Open Submissions Data & Tools |706|"
lat-SL-session,"",1533,5,"Sign Language : African Sign Languages |100| # Sign Language : Austrian Sign Language |7| # Sign Language : Corpus NGT |561|"
lat-corpus,"",14533,1,"CLARIN Centres |14533|"
lat-session,"audio,video,annotation",100773,365,"ANDES |231| # CLARIN Centres |4043| # CORP-ORAL |46|"
lexicalProfile,"lexicalResource",32,3,"CLARINO Bergen Centre |18| # CLARINO NB – Språkbanken |13| # Clarino - Textlab |1|"
lucea,"",3824,1,"CLARIN NL : D-LUCEA |3824|"
media-corpus-profile,"audio",47,2,"Bavarian Archive for Speech Signals (BAS) |46| # Phonogrammarchiv der Universität Zürich |1|"
media-session-profile,"session",26930,3,"Bavarian Archive for Speech Signals (BAS) |26652| # Phonogrammarchiv der Universität Zürich |255| # TuniCo - Linguistic Dynamics in the Greater Tunis Area |23|"
resourceInfo,"",593,2,"CLARIN Centres |466| # Center of Estonian Language Resources |127|"
singlePaperPackage,"",107,1,"Mind Research Repository |107|"
talkbank-license-session,"",62910,1,"TalkBank |62910|"
teiHeader,"text",162003,4,"CLARIN-DK-UCPH Repository |157424| # Deutsches Textarchiv (1600–1900) |3806| # Dingler Online |375|"
textCorpusProfile,"text,corpus",8,8,"CLARIN-DK-UCPH: DK-CLARIN LSP, Agriculture |1| # CLARIN-DK-UCPH: DK-CLARIN LSP, Construction |1| # CLARIN-DK-UCPH: DK-CLARIN LSP, Economics |1|"
toolProfile,"",2,1,"Clarino - Textlab |2|"
wnd_subcollection_core_data,"",28,2,"Dictionary of the Brabantic dialects - subcollection with core data |14| # Dictionary of the Limburgian dialects - subcollection with core data |14|"
