COLLECTION,modality,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:,TF-pivot-members:
"A Digital Archive of Research Papers in Computational Linguistics","","","",3280,0,""
"AGD","","","",16273,0,""
"Academia Sinica Formosan Language Archive","","","",3,0,""
"Adam Pawłowski Private Collection","","","",2,0,""
"African Language Materials Archive","","","",52,0,""
"Archive of the Indigenous Languages of Latin America","","","",98,0,""
"B2SHARE: CLARIN","","","",17,0,""
"Bavarian Archive for Speech Signals (BAS)","","","",3,0,""
"Berliner Wendekorpus","","","",1,0,""
"Berliner Wendekorpus (Quellen)","","","",1,0,""
"CEDIFOR","","","",1,0,""
"CEDIFOR.Corpus","","","",3,0,""
"CEDIFOR.Corpus.StadtWikis","","","",18,0,""
"CEDIFOR.Corpus.TITUS","","","",57,0,""
"CEDIFOR.External.Lexicon","","","",1,0,""
"CEDIFOR.External.Tool","","","",10,0,""
"CEDIFOR.Lexicon","","","",2,0,""
"CKCC","","","",9,0,""
"CLARIN Centres","","","",18753,0,""
"CLARIN NL : D-LUCEA","","","",3824,0,""
"CLARIN NL : VALID","","","",469,0,""
"CLARIN Virtual Collection Registry","","","",7,0,""
"CLARIN-DK-UCPH Repository","","","",157447,0,""
"CLARIN-LT","","","",9,0,""
"CLARIN-PL","","","",352,0,""
"CLARIN.SI data & tools","","","",128,0,""
"CLARINO Bergen Centre","","","",36,0,""
"CLARINO NB – Språkbanken","","","",13,0,""
"CLLE-ERSS Université de Toulouse-Le Mirail","","","",8,0,""
"CORP-ORAL","","","",16,0,""
"COllections de COrpus Oraux Numeriques (CoCoON ex-CRDO)","","","",13274,0,""
"California Language Archive","","","",6414,0,""
"Canonical Text Services NLP Leipzig","","","",118,0,""
"Center of Estonian Language Resources","","","",115,0,""
"Clarino - Textlab","","","",4,0,""
"Clarino Bergen Centre - INESS","","","",123,0,""
"Clarino UiB","","","",2,0,""
"Clarino: Published Data","","","",2,0,""
"CollBank","","","",51,0,""
"DBD","","","",3,0,""
"Deutsches Textarchiv (1600–1900)","","","",3804,0,""
"Dictionary Gate","","","",1,0,""
"Dictionary of the Brabantic dialects","","","",1,0,""
"Dictionary of the Brabantic dialects - subcollection with core data","","","",14,0,""
"Dictionary of the Limburgian dialects","","","",1,0,""
"Dictionary of the Limburgian dialects - subcollection with core data","","","",14,0,""
"Dingler Online","","","",375,0,""
"DoBeS archive : Akie","","","",142,0,""
"DoBeS archive : Aru languages","","","",352,0,""
"DoBeS archive : Awetí","","","",1,0,""
"DoBeS archive : Bainounk","","","",194,0,""
"DoBeS archive : Bakola","","","",2,0,""
"DoBeS archive : Baure","","","",62,0,""
"DoBeS archive : Bayso and Haro","","","",19,0,""
"DoBeS archive : Beaver Archive","","","",39,0,""
"DoBeS archive : Bena Bena","","","",31,0,""
"DoBeS archive : Bezen","","","",195,0,""
"DoBeS archive : CELD Papua","","","",887,0,""
"DoBeS archive : Cashinahua project","","","",8,0,""
"DoBeS archive : Chaco languages","","","",6,0,""
"DoBeS archive : Chintang and Puma Documentation Project","","","",6,0,""
"DoBeS archive : Délı̨nę","","","",46,0,""
"DoBeS archive : ECLING project","","","",12,0,""
"DoBeS archive : Enets and Forest Nenets","","","",6,0,""
"DoBeS archive : Even","","","",54,0,""
"DoBeS archive : Gente del Centro - People of the Center","","","",6,0,""
"DoBeS archive : Gorani","","","",236,0,""
"DoBeS archive : Hoocąk","","","",2,0,""
"DoBeS archive : Ikaan","","","",7,0,""
"DoBeS archive : Iwaidja team","","","",3,0,""
"DoBeS archive : Jaminjungan and Eastern Ngumpin","","","",16,0,""
"DoBeS archive : Khinalug","","","",14,0,""
"DoBeS archive : Kola Saami Documentation Project","","","",120,0,""
"DoBeS archive : Kuikuro Team","","","",2,0,""
"DoBeS archive : Kurumba","","","",58,0,""
"DoBeS archive : Kyanga Shanga","","","",44,0,""
"DoBeS archive : Laal","","","",56,0,""
"DoBeS archive : Lacandon Cultural Heritage","","","",6,0,""
"DoBeS archive : Lower Sorbian","","","",263,0,""
"DoBeS archive : Marquesan team","","","",28,0,""
"DoBeS archive : Minderico","","","",1,0,""
"DoBeS archive : Morehead","","","",41,0,""
"DoBeS archive : Movima","","","",339,0,""
"DoBeS archive : Nsambaan, Nsong and Ngong","","","",82,0,""
"DoBeS archive : Oyda","","","",88,0,""
"DoBeS archive : Paumotu","","","",14,0,""
"DoBeS archive : Referentiality_Project","","","",42,0,""
"DoBeS archive : Salar Monguor Project","","","",1,0,""
"DoBeS archive : Savosavo and Gela","","","",73,0,""
"DoBeS archive : Semang","","","",159,0,""
"DoBeS archive : Semoq Beri and Batek","","","",471,0,""
"DoBeS archive : Shiri and Sanzhi","","","",311,0,""
"DoBeS archive : Sri Lanka Malay","","","",22,0,""
"DoBeS archive : Taa","","","",133,0,""
"DoBeS archive : Tangsa, Tai, Singpho in North East India","","","",109,0,""
"DoBeS archive : Totoli","","","",25,0,""
"DoBeS archive : Trumai","","","",26,0,""
"DoBeS archive : Tsafiki project","","","",1,0,""
"DoBeS archive : Uru-Chipayan languages","","","",19,0,""
"DoBeS archive : Vurës and Vera'a","","","",116,0,""
"DoBeS archive : West Ambrym Languages","","","",297,0,""
"DoBeS archive : Wichita","","","",1,0,""
"DoBeS archive : Wooi","","","",263,0,""
"DoBeS archive : Yurakaré","","","",1491,0,""
"DoBeS archive : ≠Akhoe Hai//om","","","",87,0,""
"Donated Corpora : Akha Language - Heidelberg University Archive","","","",6,0,""
"Donated Corpora : Archive of the Lokono Language (ALL)","","","",350,0,""
"Donated Corpora : BBC - Bolzano-Bozen Corpora","","","",1,0,""
"Donated Corpora : Biak","","","",2,0,""
"Donated Corpora : Cantonese","","","",29,0,""
"Donated Corpora : Dalabon Corpus","","","",5,0,""
"Donated Corpora : Dinka","","","",168,0,""
"Donated Corpora : Esan Corpus","","","",26,0,""
"Donated Corpora : Gammölsvänsk","","","",1,0,""
"Donated Corpora : Gorum","","","",4,0,""
"Donated Corpora : Greek Gesture Data","","","",4,0,""
"Donated Corpora : Guanchet","","","",6,0,""
"Donated Corpora : Guarasu","","","",2,0,""
"Donated Corpora : Noon","","","",1,0,""
"Donated Corpora : North-Western Iranian Languages","","","",3,0,""
"Donated Corpora : Pan-Saami Language Archive","","","",72,0,""
"Donated Corpora : Permic Varieties","","","",433,0,""
"Donated Corpora : SSGG","","","",35,0,""
"Donated Corpora : Slips of the tongue data","","","",4,0,""
"Donated Corpora : Thadou","","","",55,0,""
"Donated Corpora : Vodun_Stories","","","",1,0,""
"Donated Corpora : XTYP Lab","","","",1901,0,""
"Donated Corpora : Yauyos Quechua","","","",196,0,""
"Donated Corpora : Yeri","","","",245,0,""
"ERCC: Learner Corpora","","","",2,0,""
"ERCC: Web Corpora","","","",1,0,""
"ESF corpus","","","",1,0,""
"European Language Resources Association","","","",1083,0,""
"Euskal Herriko Unibertsitatea","","","",18,0,""
"Fesli","","","",56,0,""
"GEI historic German textbooks: fibelnkaiserreich","","","",68,0,""
"GEI historic German textbooks: fibelnvor1871","","","",57,0,""
"GEI historic German textbooks: frankreich","","","",5,0,""
"GEI historic German textbooks: geographieatlanten","","","",121,0,""
"GEI historic German textbooks: geographieschulbuecherkaiserreich","","","",954,0,""
"GEI historic German textbooks: geographieschulbuechervor1871","","","",282,0,""
"GEI historic German textbooks: geschichtsatlanten","","","",53,0,""
"GEI historic German textbooks: geschichtsschulbuechervor1871","","","",590,0,""
"GEI historic German textbooks: kaiserreichgeschichtsschulbuecher","","","",2170,0,""
"GEI historic German textbooks: lesebuecherkaiserreich","","","",991,0,""
"GEI historic German textbooks: lesebuechervor1871","","","",18,0,""
"GEI historic German textbooks: mexiko","","","",1,0,""
"GEI historic German textbooks: oesterreich","","","",1,0,""
"GEI historic German textbooks: politikschulbuecherkaiserreich","","","",107,0,""
"GEI historic German textbooks: politikschulbuechervor1871","","","",6,0,""
"GEI historic German textbooks: realienbuecherkaiserreich","","","",279,0,""
"GEI historic German textbooks: realienbuechervor1871","","","",234,0,""
"GEI historic German textbooks: religionsschulbuechervor1871","","","",7,0,""
"GEI historic German textbooks: schweiz","","","",2,0,""
"HZSK Webservices","","","",7,0,""
"Humanethologisches Filmarchiv","","","",1369,0,""
"ILC4CLARIN : ILC Data & Tools","","","",23,0,""
"ILC4CLARIN : OPEN Data & Tools","","","",3,0,""
"IMS, CLARIN-D Centre, University of Stuttgart","","","",4,0,""
"INT","","","",1,0,""
"IULA UPF OAI Archive: Resources","","","",129,0,""
"IULA UPF OAI Archive: Services for NLP","","","",74,0,""
"IULA UPF OAI Archive: Workflows for NLP","","","",40,0,""
"Information Retrieval Facility","","","",1,0,""
"Institut für Deutsche Sprache, CLARIN-D
						Zentrum, Mannheim","","","",3539,0,""
"Institut für Deutsche Sprache, CLARIN-D
			Zentrum, Mannheim","","","",1,0,""
"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim","","","",18922,0,""
"Jan Wieczorek Private Collection","","","",8,0,""
"LAISEANG: Insular SE Asia & New Guinea","","","",203,0,""
"LINDAT / CLARIN Data & Tools","","","",275,0,""
"LINDAT / CLARIN Web Services","","","",5,0,""
"LRT + Open Submissions Data & Tools","","","",760,0,""
"Leiden Archives : Middle East : Kurdish","","","",3,0,""
"Leiden Archives : North America : Quinault","","","",19,0,""
"Leiden Archives : North America : Tahltan","","","",1,0,""
"Leiden Archives : South America : Amazonian languages","","","",31,0,""
"Leiden Archives : South America : Katwena","","","",37,0,""
"Leiden Archives : South America : Mawayana","","","",35,0,""
"Leiden Archives : South America : Quechuan","","","",34,0,""
"Leiden Archives : South America : Wayana","","","",13,0,""
"Leipzig Corpora Collection","","","",7997,0,""
"MMSH-Phonothèque: archives sonores","","","",8119,0,""
"MPI corpora : Acquisition : L1 Acquisition : C. O Shannessy","","","",3,0,""
"MPI corpora : Acquisition : L1 Acquisition : P. Brown - Tzeltal","","","",21,0,""
"MPI corpora : Acquisition : L1 Acquisition : Stern and Stern","","","",6,0,""
"MPI corpora : Acquisition : L1 Acquisition : Stoll corpora","","","",1,0,""
"MPI corpora : Acquisition : L2 Acquisition : Finiteness and Scope","","","",2,0,""
"MPI corpora : Acquisition : L2 Acquisition : Miriam Ellert","","","",1,0,""
"MPI corpora : Communication Before Language : Correction","","","",76,0,""
"MPI corpora : Communication Before Language : False Belief","","","",371,0,""
"MPI corpora : Communication Before Language : Request","","","",72,0,""
"MPI corpora : Communication Before Language : Toy Imitation","","","",55,0,""
"MPI corpora : Communication Before Language : Warning","","","",160,0,""
"MPI corpora : Comparative cognitive anthropology : Cronin","","","",528,0,""
"MPI corpora : Comparative cognitive anthropology : Sauter","","","",105,0,""
"MPI corpora : Comprehension : Anne Cutler","","","",2,0,""
"MPI corpora : Comprehension : Ernestus and Cutler","","","",1,0,""
"MPI corpora : Comprehension : Holger Mitterer","","","",19,0,""
"MPI corpora : Comprehension : James McQueen","","","",3,0,""
"MPI corpora : Demo","","","",17,0,""
"MPI corpora : Evolutionary Processes in Language and Culture : Dunn","","","",2,0,""
"MPI corpora : Evolutionary Processes in Language and Culture : EOSS","","","",6,0,""
"MPI corpora : Language and Cognition : Gesture Projects : Campisi","","","",63,0,""
"MPI corpora : Language and Cognition : Gesture Projects : Ruiter","","","",5,0,""
"MPI corpora : Language and Cognition : Lectures and Interviews at the MPI","","","",2,0,""
"MPI corpora : Language and Cognition : Projects : Behavioural : Prediction of turn-ends","","","",6,0,""
"MPI corpora : Language and Cognition : Projects : Behavioural : Prosody and Context for turn-end projection","","","",12,0,""
"MPI corpora : Language and Cognition : Projects : Behavioural : Prosody for turn-end projection","","","",21,0,""
"MPI corpora : Language and Cognition : Projects : Behavioural : Temporal preparation in dialogue","","","",8,0,""
"MPI corpora : Language and Cognition : Projects : Breathing","","","",15,0,""
"MPI corpora : Language and Cognition : Projects : EEG : Effect of Production on Comprehension","","","",22,0,""
"MPI corpora : Language and Cognition : Projects : EEG : Preference and Timing","","","",56,0,""
"MPI corpora : Language and Cognition : Projects : EEG : Preference and Timing with Context","","","",19,0,""
"MPI corpora : Language and Cognition : Projects : EEG : Quiz Study","","","",26,0,""
"MPI corpora : Language and Cognition : Sign Language : Ozyurek","","","",3,0,""
"MPI corpora : Language and Cognition : Sign Language : Perniss","","","",16,0,""
"MPI corpora : Language and Cognition : Sign Language : Sumer","","","",2,0,""
"MPI corpora : Language and Cognition : Sign Language : Vos","","","",11,0,""
"MPI corpora : Language and Cognition : Stimuli archive","","","",12,0,""
"MPI corpora : Language and Cognition : africa : Avatime : Defina","","","",2,0,""
"MPI corpora : Language and Cognition : africa : Avatime : Shared","","","",1,0,""
"MPI corpora : Language and Cognition : africa : Jalonke : Lupke","","","",1,0,""
"MPI corpora : Language and Cognition : africa : Siwu : Agawu","","","",3,0,""
"MPI corpora : Language and Cognition : africa : Siwu : Dingemanse","","","",229,0,""
"MPI corpora : Language and Cognition : australia : Cape York Peninsula : Umpithamu","","","",9,0,""
"MPI corpora : Language and Cognition : australia : Murrinh-Patha : Blythe","","","",450,0,""
"MPI corpora : Language and Cognition : europe : English : Rossi","","","",38,0,""
"MPI corpora : Language and Cognition : europe : Russian : Baranova","","","",5,0,""
"MPI corpora : Language and Cognition : europe : Spanish : Torreira","","","",29,0,""
"MPI corpora : Language and Cognition : europe : italian : Rossi","","","",72,0,""
"MPI corpora : Language and Cognition : mesoamerica : Otomanguean : Sicoli","","","",1,0,""
"MPI corpora : Language and Cognition : mesoamerica : Tzeltal : Polian","","","",11,0,""
"MPI corpora : Language and Cognition : mesoamerica : yucatec : Juergen Bohnemeyer","","","",1,0,""
"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Kilivila","","","",1080,0,""
"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Yele","","","",672,0,""
"MPI corpora : Language and Cognition : oceania : Vanuatu : Whitesands","","","",28,0,""
"MPI corpora : Language and Cognition : southamerica : Afro-Ecuadorian Spanish : Floyd","","","",12,0,""
"MPI corpora : Language and Cognition : southamerica : Cha'palaa : Floyd","","","",108,0,""
"MPI corpora : Language and Cognition : southamerica : Nheengatú : Floyd","","","",25,0,""
"MPI corpora : Language and Cognition : southamerica : Quechua, Ecuador : Floyd","","","",59,0,""
"MPI corpora : Language and Cognition : southamerica : Shuar : Saad","","","",21,0,""
"MPI corpora : Language and Cognition : southasia : Chintang : Dirksmeyer","","","",1,0,""
"MPI corpora : Language and Cognition : southasia : Hindi : Bhuvana Narasimhan","","","",1,0,""
"MPI corpora : Language and Cognition : southeastasia : Kri : Enfield","","","",50,0,""
"MPI corpora : Language and Cognition : southeastasia : Lao : Enfield","","","",1,0,""
"MPI corpora : Language and Cognition : southeastasia : Semai : Tufvesson","","","",295,0,""
"MPI corpora : Language and Genetics : Asymmetry","","","",2,0,""
"MPI corpora : Language and Genetics : Biases","","","",1,0,""
"MPI corpora : Language and Genetics : DDP","","","",3,0,""
"MPI corpora : Language and Genetics : Dyslexia Exomes","","","",3,0,""
"MPI corpora : Language and Genetics : Dyslexia Language GWAS","","","",4,0,""
"MPI corpora : Language and Genetics : Handedness","","","",2,0,""
"MPI corpora : Language and Genetics : JR Family","","","",6,0,""
"MPI corpora : Language and Genetics : Nemo","","","",2,0,""
"MPI corpora : Language and Genetics : SLI Exomes","","","",8,0,""
"MPI corpora : Language and Genetics : Synaesthesia","","","",2,0,""
"MPI corpora : LexoBlock registry","","","",3,0,""
"MPI corpora : MPI library media corpus","","","",1,0,""
"MPI corpora : Neurobiology of language : 3011048.01 Syntactic processing mechanisms in music and language","","","",8,0,""
"MPI corpora : Neurobiology of language : AGL Generalization Crossed","","","",12,0,""
"MPI corpora : Neurobiology of language : AGLTMS1","","","",124,0,""
"MPI corpora : Neurobiology of language : AGLTMS2","","","",140,0,""
"MPI corpora : Neurobiology of language : Accentuation","","","",25,0,""
"MPI corpora : Neurobiology of language : Age-related decline in controls but not Korsakoff's","","","",8,0,""
"MPI corpora : Neurobiology of language : BIG-GWAS-HG","","","",35,0,""
"MPI corpora : Neurobiology of language : Beat Gesture and Pitch Accent in Isolated Sentences","","","",11,0,""
"MPI corpora : Neurobiology of language : Beat Gesture, Pitch Accent and Information Structure","","","",116,0,""
"MPI corpora : Neurobiology of language : BehExp_Cumulativity_SyntacticPriming_RTs","","","",60,0,""
"MPI corpora : Neurobiology of language : BehExp_Lexical_SyntacticPriming_RTs","","","",66,0,""
"MPI corpora : Neurobiology of language : Behavioral Replication: Are speakers influenced by the magnitude of their partner's syntactic priming effect?","","","",7,0,""
"MPI corpora : Neurobiology of language : Betagamma","","","",21,0,""
"MPI corpora : Neurobiology of language : Cognition 2015","","","",21,0,""
"MPI corpora : Neurobiology of language : Coherence","","","",82,0,""
"MPI corpora : Neurobiology of language : Discourse Coherence EEG","","","",44,0,""
"MPI corpora : Neurobiology of language : Does Syntactic Alignment Effectively Influence How Speakers Are Perceived By Their Conversation Partner?","","","",13,0,""
"MPI corpora : Neurobiology of language : ERGAGL-Pilot 1","","","",21,0,""
"MPI corpora : Neurobiology of language : ERGAGL-Pilot 2","","","",19,0,""
"MPI corpora : Neurobiology of language : ERGAGL-crossed and nested","","","",296,0,""
"MPI corpora : Neurobiology of language : Emotion","","","",16,0,""
"MPI corpora : Neurobiology of language : Fact or Fiction? (Project 055)","","","",3,0,""
"MPI corpora : Neurobiology of language : Frequency Tagging EEG","","","",16,0,""
"MPI corpora : Neurobiology of language : How social opinion influences syntactic processing","","","",11,0,""
"MPI corpora : Neurobiology of language : IBIG2","","","",5,0,""
"MPI corpora : Neurobiology of language : Idiom1","","","",54,0,""
"MPI corpora : Neurobiology of language : Japanese ideophone learning experiment (EEG + behavioural)","","","",7,0,""
"MPI corpora : Neurobiology of language : Japanese ideophone learning experiment (behavioural)","","","",7,0,""
"MPI corpora : Neurobiology of language : Japanese ideophones vs regular words during sentence reading EEG","","","",7,0,""
"MPI corpora : Neurobiology of language : Language Syntax Influences Music Perception (behavioural)","","","",2,0,""
"MPI corpora : Neurobiology of language : Litsim","","","",21,0,""
"MPI corpora : Neurobiology of language : MOUS","","","",169,0,""
"MPI corpora : Neurobiology of language : Memory for syntax is domain-general","","","",15,0,""
"MPI corpora : Neurobiology of language : Music Language Interaction (meg)","","","",6,0,""
"MPI corpora : Neurobiology of language : Personal pronouns affect literary reading","","","",2,0,""
"MPI corpora : Neurobiology of language : Plosone Simanova 2010","","","",212,0,""
"MPI corpora : Neurobiology of language : RC Comprehension MEG","","","",53,0,""
"MPI corpora : Neurobiology of language : Repetition Suppression of Music and Language (mri)","","","",7,0,""
"MPI corpora : Neurobiology of language : SIP","","","",17,0,""
"MPI corpora : Neurobiology of language : SU Inflection EEG","","","",47,0,""
"MPI corpora : Neurobiology of language : Searching High and Low","","","",308,0,""
"MPI corpora : Neurobiology of language : Simulation versus Imagery: fMRI during narrative comprehension (DCCN:3011073.01)","","","",8,0,""
"MPI corpora : Neurobiology of language : Size-sound Pseudowords project","","","",6,0,""
"MPI corpora : Neurobiology of language : Sound symbolism rating EEG project","","","",6,0,""
"MPI corpora : Neurobiology of language : Space and Pitch in Language and Thought","","","",15,0,""
"MPI corpora : Neurobiology of language : Srifm","","","",7,0,""
"MPI corpora : Neurobiology of language : Syntactic alignment in a conversation context","","","",6,0,""
"MPI corpora : Neurobiology of language : TMS-Unification","","","",16,0,""
"MPI corpora : Neurobiology of language : The Sound of Thickness","","","",14,0,""
"MPI corpora : Neurobiology of language : The Thickness of Musical Pitch","","","",20,0,""
"MPI corpora : Neurobiology of language : The opinion of a conversation partner reflected in their alpha oscillations","","","",17,0,""
"MPI corpora : Neurobiology of language : Turn-taking EEG","","","",13,0,""
"MPI corpora : Neurobiology of language : VR as a tool to study syntactic alignment","","","",18,0,""
"MPI corpora : Neurobiology of language : Zoo-project: can interpersonal neural coupling reflect situation model alignment?","","","",6,0,""
"MPI corpora : Neurogenetics of Vocal Communication","","","",11,0,""
"MPI corpora : Psychology of Language : ActionNorm 2011","","","",7,0,""
"MPI corpora : Psychology of Language : Demo Project","","","",4,0,""
"MPI corpora : Psychology of Language : Eyetrack-test Project","","","",7,0,""
"MPI corpora : Psychology of Language : IDPN 2010","","","",16,0,""
"MPI corpora : Psychology of Language : Incrementality and Flexibility in Sentence Production","","","",12,0,""
"MPI corpora : Psychology of Language : MentalMath","","","",1,0,""
"MPI corpora : Psychology of Language : NA 2012","","","",9,0,""
"MPI corpora : Psychology of Language : Predicting Language in Context","","","",60,0,""
"MPI corpora : Psychology of Language : Pwi 2013","","","",7,0,""
"MPI corpora : Psychology of Language : Rhythmic Attention","","","",84,0,""
"MPI corpora : Psychology of Language : Sustained Attention","","","",72,0,""
"MUCH","","","",188,0,""
"Meertens Collection: Diversity in Dutch DP Design (DiDDD)","","","",334,0,""
"Meertens Collection: Dynamische Fonologische en Morfologische Atlas van de Nederlandse Dialecten (GTRP)","","","",614,0,""
"Meertens Collection: Dynamische Syntactische Atlas van de Nederlandse Dialecten (DynaSAND)","","","",268,0,""
