MODALITY,MODALITY,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"act-out","actOut","","",4,3,"MPI corpora : Language and Cognition : Gesture Projects : Allen |1| # MPI corpora : Language and Cognition : Gesture Projects : Kita |1| # MPI corpora : Language and Cognition : Gesture Projects : Ozyurek |2|"
"action","activity","","",14,2,"DoBeS archive : Iwaidja team |13| # MPI corpora : Language and Cognition : oceania : Papua New Guinea : Kilivila |1|"
"active lexicon elicitation","","","",1,1,"DoBeS archive : Tofa team |1|"
"activity","activity","","",4,1,"DoBeS archive : Chaco languages |4|"
"activity,speech","activity;speech","","",1,1,"DoBeS archive : Bayso and Haro |1|"
"anthropological information","!","","",2,1,"DoBeS archive : Trumai |2|"
"auditory","","","",3,1,"MPI corpora : Neurobiology of language : Turn-taking EEG |3|"
"autobiography","!","","",1,1,"DoBeS archive : Tofa team |1|"
"biography","!","","",5,1,"DoBeS archive : Tofa team |5|"
"bodygesture","gestures","","",30,0,""
"canción","music","","",17,1,"DoBeS archive : Gente del Centro - People of the Center |17|"
"co-speech; gesture","gestures;speech","","",101,1,"MPI corpora : Language and Cognition : Gesture Projects : Ozyurek |101|"
"combinationofmodalities","multimodal","","",9,1,"Clarino - Textlab |1|"
"conversation","speech","","",15,1,"DoBeS archive : Tofa team |15|"
"cooking technique","!","","",1,1,"DoBeS archive : Iwaidja team |1|"
"cospeech gestures","gestures;speech","","",112,1,"MPI corpora : Language and Cognition : Gesture Projects : Furman |112|"
"counting elicitation","","","",5,1,"DoBeS archive : Tofa team |5|"
"culture","!","","",29,1,"DoBeS archive : Trumai |29|"
"culture and history","!","","",1,1,"DoBeS archive : Trumai |1|"
"culture and society","","","",1,1,"DoBeS archive : Trumai |1|"
"dance","","","",1,1,"DoBeS archive : Savosavo and Gela |1|"
"demonstration","","","",6,1,"DoBeS archive : Tofa team |6|"
"demonstration (video)","","","",1,1,"Donated Corpora : Chachapoyas |1|"
"display of material culture","","","",2,1,"DoBeS archive : Bayso and Haro |2|"
"drawing","","","",1,1,"DoBeS archive : Cashinahua project |1|"
"ear-to-ear","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"ear-to-ear ; face-to-face ; fernsehen ; telefon","","","",2,1,"AGD |2|"
"edited version of recorded oral narrative","","","",40,1,"DoBeS archive : Teop |40|"
"elicitation","","","",1,1,"DoBeS archive : Tofa team |1|"
"emotional-state","","","",27,3,"Bavarian Archive for Speech Signals (BAS) |25| # DoBeS archive : Semang |1| # DoBeS archive : Tangsa, Tai, Singpho in North East India |1|"
"essay","","","",2,1,"DoBeS archive : Tofa team |2|"
"explanation","","","",2,1,"DoBeS archive : Tofa team |2|"
"eye-gaze","","","",18,1,"Bavarian Archive for Speech Signals (BAS) |18|"
"face-to face","","","",1,1,"AGD |1|"
"face-to-face","","","",28,2,"AGD |19| # Archiv für Gesprochenes Deutsch |9|"
"face-to-face ; fernsehen","","","",1,1,"AGD |1|"
"face-to-face ; rundfunk ; telefon","","","",1,1,"AGD |1|"
"face-to-face ; telefon","","","",1,1,"AGD |1|"
"face-to-face ; telefon ; rundfunk","","","",1,1,"AGD |1|"
"facial-expressions","","","",27,2,"Bavarian Archive for Speech Signals (BAS) |26| # DoBeS archive : CELD Papua |1|"
"facialexpression","","","",29,0,""
"fernsehen","","","",2,1,"Archiv für Gesprochenes Deutsch |2|"
"gathering technique","","","",1,1,"DoBeS archive : Iwaidja team |1|"
"gestures","","","",300,15,"Bavarian Archive for Speech Signals (BAS) |35| # DoBeS archive : Awetí |10| # DoBeS archive : Bayso and Haro |8|"
"gestures & gestures","","","",2,1,"DoBeS archive : Bakola |2|"
"gestures/signs","","","",159,1,"MPI corpora : Language and Cognition : Gesture Projects : Ozyurek |159|"
"gestures; body movement; dancing","","","",1,1,"DoBeS archive : Awetí |1|"
"grammar","","","",8,1,"DoBeS archive : Trumai |8|"
"haptic","","","",1,1,"DoBeS archive : Cashinahua project |1|"
"harvesting technique","","","",1,1,"DoBeS archive : Iwaidja team |1|"
"hörfunk","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"image","","","",18,1,"DoBeS archive : Chintang and Puma Documentation Project |18|"
"images","","","",33,3,"DoBeS archive : Cashinahua project |2| # DoBeS archive : Chaco languages |30| # DoBeS archive : Chintang and Puma Documentation Project |1|"
"images; music","","","",1,1,"DoBeS archive : Chaco languages |1|"
"instrumental music","","","",46,14,"DoBeS archive : Aché |1| # DoBeS archive : Bakola |1| # DoBeS archive : Cashinahua project |2|"
"instrumental music; dance","","","",1,1,"DoBeS archive : Movima |1|"
"instrumental music; song","","","",3,2,"DoBeS archive : Iwaidja team |2| # DoBeS archive : Movima |1|"
"instrumental music; speech","","","",1,1,"DoBeS archive : Gente del Centro - People of the Center |1|"
"internal administration","","","",3,1,"DoBeS archive : Trumai |3|"
"interview","interview","","",10,1,"DoBeS archive : Tofa team |10|"
"interview; demonstration","interview;demonstration","","",1,1,"DoBeS archive : Tofa team |1|"
"interview; song","interview;song","","",1,1,"DoBeS archive : Tofa team |1|"
"language","!","","",3,1,"DoBeS archive : Trumai |3|"
"lexicon","!","","",1,1,"DoBeS archive : Trumai |1|"
"lexicon elicitation","lexicon elicitation","","",10,1,"DoBeS archive : Tofa team |10|"
"multimodal","multimodal","","does this make sense?",49,4,"Bavarian Archive for Speech Signals (BAS) |1| # HZSK Tools |1| # IMS, CLARIN-D Centre, University of Stuttgart |3|"
"music","music","","",3,2,"DoBeS archive : Chaco languages |2| # DoBeS archive : Iwaidja team |1|"
"music; dance; contract signing","music;dance;contract signing","","",1,1,"DoBeS archive : Iwaidja team |1|"
"music; speech","music;speech","","",1,1,"DoBeS archive : Chaco languages |1|"
"n/a","!","","",28,1,"COST elicitationdata |28|"
"no speech","!","","unclear",4,1,"DoBeS archive : Bayso and Haro |4|"
"non-speech","!","","unclear",1,1,"DoBeS archive : Tofa team |1|"
"none","!","","",3,1,"DoBeS archive : Waimaa team |3|"
"notapplicable","!","","",2,1,"IMS, CLARIN-D Centre, University of Stuttgart |2|"
"oral","speech","","I guess",1,1,"DoBeS archive : Teop |1|"
"other","!","","unclear",4,3,"Bavarian Archive for Speech Signals (BAS) |1| # Center of Estonian Language Resources |2| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |1|"
"passive lexicon elicitation","passive lexicon elicitation","","",1,1,"DoBeS archive : Tofa team |1|"
"performance","performance","","",3,1,"DoBeS archive : Teop |3|"
"photo","photo","","is this a modality?",1,1,"Leiden Archives : South America : Amazonian languages |1|"
"photos","","","",4,1,"DoBeS archive : Kyanga Shanga |4|"
"photos of animals","","","",1,1,"DoBeS archive : Kyanga Shanga |1|"
