ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Fraunhofer Heinrich Hertz Institute, Immersive Media and Communication Group, Vision and Imaging Technology Department","","","",1,1,"MPI corpora : Demo |1|"
"Fraunhofer Institut für Intelligente Analyse und Informationssysteme, IAIS","","","",5,1,"MPI corpora : Demo |5|"
"Free University Berlin, Institute for Turkology","","","",69,0,""
"Free University of Amsterdam (VU)","","","",2,1,"INT |2|"
"Freiburg Research Group in Saami Studies / Skandinavisches Seminar / Universität Freiburg","","","",42,1,"Donated Corpora : Pan-Saami Language Archive |42|"
"Freie Universitaet Berlin / Germany and Museu Paraense Emílio Goeldi / Belém / PA / Brasil","","","",1,1,"DoBeS archive : Awetí |1|"
"Freie Universität Berlin","","","",339,3,"AGD |1| # DoBeS archive : Awetí |187| # MPI corpora : Acquisition : L2 Acquisition : P-MoLL |115|"
"Freie Universität Berlin / Germany and Museu Paraense Emílio Goeldi / Belém / PA / Brasil","","","",166,1,"DoBeS archive : Awetí |166|"
"Freie Universität Berlin, Institut für Deutsche und Niederländische Philologie","","","",1,1,"AGD |1|"
"Freie Universitï¿½t Berlin / Germany and Museu Paraense Emï¿½lio Goeldi / Belï¿½m / PA / Brasil","","","",1,1,"DoBeS archive : Awetí |1|"
"Friedrich Schiller University Jena","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"Friedrich-Alexander-Universität Erlangen","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Friedrich-Schiller-Universität Jena","","","",2,1,"DoBeS archive : Morehead |2|"
"Fryske Akademy","","","",4,3,"CollBank |1| # INT |1| # LRT + Open Submissions Data & Tools |2|"
"Fødevarestyrelsen","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Gartencenter","","","",8,1,"AGD |8|"
"Gauhati University","","","",1,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |1|"
"Gelders Erfgoed, Zutphen","","","",1,1,"CollBank |1|"
"Gemeinderat","","","",1,1,"AGD |1|"
"General Linguistics, Department of Linguistics","","","",1,1,"DoBeS archive : Waimaa team |1|"
"General Linguistics, University of Cologne","","","",11,1,"DoBeS archive : Aru languages |11|"
"Georg August-Universität Göttingen","","","",1,1,"MPI corpora : Acquisition : L2 Acquisition : Miriam Ellert |1|"
"Georg-Eckert-Institut","","","",1,1,"WorldViews |1|"
"Georgetown University","","","",128,1,"MPI corpora : Language and Cognition : mesoamerica : Otomanguean : Sicoli |128|"
"Georgetown University Linguistics","","","",72,1,"MPI corpora : Language and Cognition : mesoamerica : Otomanguean : Sicoli |72|"
"German Research Foundation (DFG)","","","",115,1,"MPI corpora : Acquisition : L2 Acquisition : P-MoLL |115|"
"German Science Foundation (DFG)","","","",1,0,""
"German Telekom, Berlin","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Geschäft","","","",2,1,"AGD |2|"
"Ghent University","","","",3,1,"INT |3|"
"Giellatekno - Saami Language Technology","","","",10,2,"CLARINO Bergen Centre |9| # clarino |1|"
"Giellatekno, Saami Language Technology","","","",13,1,"CLARINO Bergen Centre |13|"
"Goethe University Frankfurt am Main","","","",17,1,"DoBeS archive : Oyda |17|"
"Goethe University Frankfurt, Insititute of Empirical Linguistics","","","",5,1,"DoBeS archive : Khinalug |5|"
"Goethe University Frankfurt, Insittute of Empirical Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe University Frankfurt, Insitute of Empirical Linguistics","","","",6,1,"DoBeS archive : Khinalug |6|"
"Goethe University Frankfurt, Institue of Empirical Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe University Frankfurt, Institute for Empirical Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe University Frankfurt, Institute of Emirical Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe University Frankfurt, Institute of Empirical Linguistics","","","",442,1,"DoBeS archive : Khinalug |442|"
"Goethe University Frankfurt, Institute of Empirical Linguistics, Germany","","","",2,1,"DoBeS archive : Khinalug |2|"
"Goethe University Frankfurt, Institute of Empirical Linguistics.","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe University Frankfurt, Institute of Empirical Lingusitics","","","",4,1,"DoBeS archive : Khinalug |4|"
"Goethe University Frankfurt, TU Darmstadt and Deutsches Institut für Internationale Pädagogische Forschung (DIPF)","","","",1,1,"Semantic Search in Cuneiform Doucments |1|"
"Goethe Universität Frankfurt a.M.","","","",45,1,"DoBeS archive : Akie |45|"
"Goethe Universtiy Frankfurt, Institute of Empirical Linguistics","","","",1,1,"DoBeS archive : Khinalug |1|"
"Goethe-Universität Frankfurt, Institute of Empirical Linguistics","","","",18,1,"DoBeS archive : Khinalug |18|"
"Gothenburg University Library, University of Gothenburg","","","",1,1,"Språkbanken |1|"
"Grundschule - Vorlaufkurs","","","",4,1,"AGD |4|"
"Gurusoft","","","",1,0,""
"Gyldendal","","","",1,1,"CLARINO Bergen Centre |1|"
"Gyldendal, DU and NORLA","","","",1,1,"CLARINO Bergen Centre |1|"
"Gyldendalske Boghandel","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Gyldendalske Boghandel - Nordisk Forlag","","","",39,1,"CLARIN-DK-UCPH Repository |39|"
"Hage & Clausens Forlag","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Hamburg Centre for Language Corpora","","","",2357,5,"HZSK Webservices |6| # Hamburger Zentrum für Sprachkorpora (HZSK) |42| # Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Hamburg Centre for Language Corpora (HZSK)","","","",1,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Hamburg University","","","",15,1,"DoBeS archive : Bayso and Haro |15|"
"Hamburg University / Universitätskolleg","","","",1,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Hamburger Zentrum für Sprachkorpora (HZSK)","","","",22,2,"HZSK: SFB 632 |20| # Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Helsingin Sanomat","","","",1,0,""
"Helsinginseutu.fi","","","",1,0,""
"Helsinki University","","","",1,0,""
"Herder-Institut, Universität Leipzig","","","",1,1,"Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |1|"
"Hilfsorganisation","","","",9,1,"AGD |9|"
"Hochschule","","","",28,1,"AGD |28|"
"Hogeschool Gent","","","",4,2,"CollBank |1| # INT |3|"
"Hogeschool Utrecht","","","",435,1,"TLA: IPROSLA sign language acquisition |435|"
"Hoocąk House of Wellness","","","",24,1,"DoBeS archive : Hoocąk |24|"
"Hoocąk Renaissance","","","",1,1,"DoBeS archive : Hoocąk |1|"
"Hoocąk Waaziija Haci Language Division","","","",71,1,"DoBeS archive : Hoocąk |71|"
"Hoocąk House of Wellness","","","",2,1,"DoBeS archive : Hoocąk |2|"
"Hoocąk Waaziija Haci Language Division","","","",57,1,"DoBeS archive : Hoocąk |57|"
"HuComTech","","","",2,1,"Donated Corpora : Hungarian Multimodal Corpus |2|"
"HuComTech research group","","","",1,0,""
"Humanethologisches Filmarchiv der Max-Planck-Gesellschaft und Humanwissenschaftliches Zentrum der Ludwig-Maximilian Universität München","","","",1351,2,"Humanethologisches Filmarchiv |1349| # MPI corpora : Language and Cognition : oceania : Papua New Guinea : Kilivila |2|"
"Humboldt University Berlin","","","",208,8,"Dingler Online |1| # DoBeS archive : Bakola |69| # DoBeS archive : Kola Saami Documentation Project |127|"
"Humboldt-Universität zu Berlin - Nordeuropainstitut","","","",27,1,"Donated Corpora : Pan-Saami Language Archive |27|"
"Humboldt-Universität zu Berlin, Nordeuropa-Institut","","","",6,1,"DoBeS archive : Kola Saami Documentation Project |6|"
"Huygens ING – KNAW","","","",1,1,"Namescape: mapping the onymic landscape |1|"
"Hörfunk","","","",2,1,"AGD |2|"
"Høgskolen i Sør-Trøndelag","","","",1,1,"CLARINO NB – Språkbanken |1|"
"IDS","","","",30,3,"AGD |26| # Archiv für Gesprochenes Deutsch |2| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |2|"
"IDS, Forschungsstelle Freiburg","","","",1,1,"AGD |1|"
"IDS-Forschungsstelle Freiburg","","","",1,1,"AGD |1|"
"IIAP","","","",11,1,"DoBeS archive : Gente del Centro - People of the Center |11|"
"ILK, Computational Linguistics","","","",1,1,"Tübingen Language Resources |1|"
"ILR Universität Stuttgart (D)","","","",1,1,"IMS, CLARIN-D Centre, University of Stuttgart |1|"
"ILTEC- Instituto de Linguística Teórica e Computacional","","","",6,1,"CORP-ORAL |6|"
"INT","","","",9,2,"INT |8| # Namescape: mapping the onymic landscape |1|"
"ISP de Kikwit","","","",4,1,"DoBeS archive : Nsambaan, Nsong and Ngong |4|"
"Ibtikarat Team","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Ibtikarat team","","","",11,1,"LRT + Open Submissions Data & Tools |11|"
"Ibtikarate","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Imam Khomeini International University","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Insight Centre for Data Analytics, National University of Ireland, Galway","","","",1,1,"CLARIN.SI data & tools |1|"
"Insituut voor de Nederlandse Taal","","","",1,1,"INT |1|"
"Instituo Roberto Payró, Facultad de Filosofía y Letras","","","",10,1,"DoBeS archive : Chaco languages |10|"
"Institut for Empirical Linguistics, Goethe University Frankfurt, Germany","","","",58,1,"DoBeS archive : Khinalug |58|"
"Institut for Fysik og Astronomi","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Institut fuer Allgemeine u. Vergleichende Sprachwissenschaft, University of Kiel","","","",1,1,"DoBeS archive : Marquesan team |1|"
"Institut fuer Phonetik, Ludwig-Maximilians-Universität München","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Institut für Afrikanistik, Universität zu Köln","","","",32,1,"DoBeS archive : Tima |32|"
"Institut für Allgemeine Sprachwissenschaft, Universität zu Köln","","","",646,1,"DoBeS archive : CELD Papua |646|"
"Institut für Allgemeine Sprachwissenschaft, Westfaelische Wilhelms-Universitaet Muenster","","","",28,1,"DoBeS archive : Totoli |28|"
"Institut für Allgemeine Sprachwissenschaft, Westfälische Wilhelms-Universität Münster","","","",10,1,"DoBeS archive : Totoli |10|"
"Institut für Asien- und Afrikawissenschaften, Humboldt-Universität zu Berlin","","","",6,1,"HZSK: SFB 632 |6|"
"Institut für Deusche Sprache","","","",545,1,"Archiv für Gesprochenes Deutsch |545|"
"Institut für Deutsche Sprache Mannheim : Programmbereich Forschungsinfrastrukturen Universität Leipzig : ESF-Nachwuchsgruppe ""Wissensrohstoff Text""","","","",1,1,"Archiv für Gesprochenes Deutsch |1|"
"Institut für Deutsche Sprache, Mannheim","","","",2,1,"HZSK Tools |2|"
"Institut für Empirische Sprachwissenschaft, J. W. Goethe-Universität, Frankfurt","","","",191,1,"DoBeS archive : Aché |191|"
"Institut für Finnougristik & Uralistik, University of Hamburg","","","",3,1,"Donated Corpora : Permic Varieties |3|"
"Institut für Germanistik, Universität Wien","","","",5,1,"HZSK: SFB 632 |5|"
"Institut für Phonetik und Sprachliche Kommunikation, Ludwig-Maximilians-Universität München, Germany","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Institut für Phonetik und Sprachverarbeitung, Ludwig-Maximilians-Universität München","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Institut für deutsche Sprache und Linguistik, Humboldt-Universität zu Berlin","","","",2,1,"HZSK: SFB 632 |2|"
"Institut für deutsche Sprache und Literatur, Akademie der Wissenschaften","","","",2,1,"AGD |2|"
"Institut für deutsche Sprache und Literatur, Akademie der Wissenschaften, Berlin","","","",15,1,"AGD |15|"
"Institute for African Studies, University of Cologne","","","",32,1,"DoBeS archive : Tima |32|"
"Institute for Applied Linguistics, Eurac Research","","","",2,2,"ERCC: Learner Corpora |1| # ERCC: Web Corpora |1|"
"Institute for Basic German, Stanford University","","","",1,1,"AGD |1|"
"Institute for Estonian and General Linguistics","","","",28,1,"DoBeS archive : Enets and Forest Nenets |28|"
"Institute for Language and Speech Processing (ILSP)/ATHENA RC","","","",1,1,"COST elicitationdata |1|"
"Institute for the German Language, Mannheim","","","",2,1,"HZSK Tools |2|"
"Institute for the Languages of Finland","","","",35,0,""
"Institute of Contemporary History","","","",2,1,"CLARIN.SI data & tools |2|"
"Institute of Croatian Language and Linguistics","","","",1,1,"CLARIN.SI data & tools |1|"
"Institute of Estonian and General Linguistics","","","",13,1,"DoBeS archive : Enets and Forest Nenets |13|"
"Institute of Estonian and General Linguistics, University of Tartu","","","",3,1,"DoBeS archive : Enets and Forest Nenets |3|"
"Institute of Formal and Applied Linguistics, Charles University in Prague","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Institute of General Linguistics, University of Zurich","","","",3,1,"MPI corpora : Language and Cognition : southasia : Chintang : Dirksmeyer |3|"
"Institute of Linguistics, University of Leipzig","","","",3,1,"MPI corpora : Language and Cognition : southasia : Chintang : Dirksmeyer |3|"
"Institute of Man–Machine Interaction, RWTH Aachen University","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Institute of Philosophy of the Czech Academy of Sciences","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Institute of Phonetic Sciences, ACLC","","","",569,1,"IFA corpus |569|"
"Institute of Phonetic Sciences, University of Amsterdam","","","",569,1,"IFA corpus |569|"
"Institute of Phonetic Sciences/ACLC, University of amsterdam","","","",569,1,"IFA corpus |569|"
"Institute of the Estonian Language","","","",76,1,"Center of Estonian Language Resources |76|"
"Instituto Nacional de Musicología","","","",95,1,"DoBeS archive : Chaco languages |94|"
"Instituto de Investigaciones de la Amazonía Peruana (IIAP)","","","",135,1,"DoBeS archive : Gente del Centro - People of the Center |135|"
"Instituto de Investigaciones de la Amazonía Peruana (IIAP) - Iquitos - Perú","","","",51,1,"DoBeS archive : Gente del Centro - People of the Center |51|"
"Instituto de Lingüística, Facultad de Filosofía y Letras","","","",11,1,"DoBeS archive : Chaco languages |11|"
"Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires.","","","",1,1,"DoBeS archive : Chaco languages |1|"
"Instituto de Lingüística,Facultad de Filosofía y Letras,Universidad de Buenos Aires","","","",1,1,"DoBeS archive : Chaco languages |1|"
"Instituto di Scienze e Tecnologie della Cognizione, Rome","","","",1,1,"COST elicitationdata |1|"
"Instituut voor de Nederlandse Taal","","","",3,1,"INT |3|"
"Instituut voor de Nederlandse Taal, IVDNT","","","",1,1,"INT |1|"
"Interdisciplinary Nanoscience Center, Aarhus Universitet","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"International Barents Secretariat","","","",5,1,"DoBeS archive : Kola Saami Documentation Project |5|"
"International institute for Sign Languages and Deaf Studies (iSLanDS) - University of Central Lancashire","","","",29,1,"Sign Language : Sign Language Typology |29|"
"Irion Technologies BV","","","",1,1,"INT |1|"
"Istituto di Linguistica Computazionale “A. Zampolli” - Consiglio Nazionale delle Ricerche (ILC-CNR)","","","",8,1,"ILC4CLARIN : ILC Data & Tools |8|"
"Jalkanya Primary School","","","",2,1,"DoBeS archive : Chintang and Puma Documentation Project |2|"
"Jalpadevi primary school","","","",1,1,"DoBeS archive : Chintang and Puma Documentation Project |1|"
"Jazykovedný ústav Ľ. Štúra Slovenskej akadémie vied","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Johann Wolfgang Goethe Universität Frankfurt","","","",236,2,"DoBeS archive : Aché |191| # DoBeS archive : Akie |45|"
"Johann Wolfgang-Goethe-Universität, FB 3/Gesellschaftswissenschaften","","","",1,1,"AGD |1|"
"Johannes V. Jensen-centret, Aarhus Universitet","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Joint Research Centre of the EU","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Jožef Stefan Institute","","","",51,1,"CLARIN.SI data & tools |51|"
"Jugendhaus in einer ländlichen Kleinstadt","","","",6,1,"AGD |6|"
"JyskeBank","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"Jyväskylän yliopisto","","","",25,0,""
"K.U.Leuven","","","",3,1,"INT |3|"
"KOC University","","","",4,1,"MPI corpora : Language and Cognition : Gesture Projects : Ozyurek |4|"
"KTU","","","",1,1,"CLARIN-LT |1|"
"Kaldera språkteknologi AS","","","",2,1,"CLARINO NB – Språkbanken |2|"
"Kanamkek Yile Ngalla, Wadeye Aboriginal Languages Centre","","","",2,1,"MPI corpora : Language and Cognition : australia : Murrinh-Patha : Blythe |2|"
"Karl-Franzens-Universität Graz","","","",9,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |9|"
"Katherine Language Centre","","","",4,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |4|"
"Katholieke Universiteit Leuven","","","",1,1,"INT |1|"
"Katholieke Universiteit Leuven (CCL)","","","",1,1,"CollBank |1|"
"Katholieke Universiteit Leuven (K.U.Leuven)","","","",1,1,"INT |1|"
"Katholische Universität Eichstätt","","","",32,1,"AGD |32|"
"Kepa","","","",2,0,""
"Kerstin Dahlbäck","","","",1,1,"Språkbanken |1|"
"Kiel University","","","",14,1,"DoBeS archive : Vurës and Vera'a |14|"
"Kielikone","","","",2,0,""
"Kindertagesstätte","","","",20,1,"AGD |20|"
"Kirche","","","",2,1,"AGD |2|"
"Koenraad Kuiper University of Canterbury, Christchurch, New Zealand","","","",1,1,"Donated Corpora : Slips of the tongue data |1|"
"Koninklijke Kentalis","","","",16,2,"CLARIN NL : VALID |15| # CollBank |1|"
"Kotimaisten kielten keskus","","","",38,0,""
"Krankenhaus","","","",9,1,"AGD |9|"
"Krankenkasse","","","",1,1,"AGD |1|"
"Kókinos, madrid","","","",1,1,"CLARINO Bergen Centre |1|"
"Københavns Universitet, Niels Bohr Institutet","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"LEGO","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"LESC-CNRS","","","",5,1,"DoBeS archive : Cashinahua project |5|"
"LUCL","","","",42,1,"DoBeS archive : Bakola |42|"
"LUCL Leiden, African Studies Centre Leiden","","","",3,1,"DoBeS archive : Oyda |3|"
"Laboratoire Dynamique du Langage, UMR5596, CNRS & Université Lyon Lum","","","",2,1,"DoBeS archive : Even |2|"
"Laboratoire Dynamique du Langage, UMR5596, CNRS & Université Lyon Lumière 2","","","",14,1,"DoBeS archive : Even |14|"
"Laboratoire d'Anthropologie Sociale, Paris","","","",459,1,"DoBeS archive : Yurakaré |459|"
"Laboratoire d'Anthropologie Sociale, Paris.","","","",4,1,"DoBeS archive : Yurakaré |4|"
"Laboratoire d'ethnologie et de sociologie comparative (UMR 7186)","","","",83,1,"DoBeS archive : Cashinahua project |83|"
"Laboratoire d’Anthropologie Sociale, Paris.","","","",174,1,"DoBeS archive : Yurakaré |174|"
"Language Department of the Katholieke Universiteit Nijmegen (KUN)","","","",1,1,"CollBank |1|"
"Language Technology Lab, University of Duisburg-Essen","","","",2,2,"DKPro Similarity |1| # DKPro TC |1|"
"Language and computing NV","","","",1,1,"INT |1|"
"Lateinamerika-Institut, Berlin","","","",6,1,"DoBeS archive : Baure |2|"
"Leibniz-Institut für Neurobiologie","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Leiden University","","","",231,19,"CollBank |2| # DoBeS archive : Aru languages |72| # DoBeS archive : Kola Saami Documentation Project |2|"
"Leiden University, LIAS and the Department of Cultural Anthropology","","","",2,1,"Leiden Archives : Middle East : Kurdish |2|"
"Lengua de Trapo, Madrid","","","",1,1,"CLARINO Bergen Centre |1|"
"Leqtor, Barcelona","","","",1,1,"CLARINO Bergen Centre |1|"
"Leuphana University Lüneburg / Schreibzentrum","","","",1,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Leuphana Universität Lüneburg / Writing Center","","","",1,1,"Hamburger Zentrum für Sprachkorpora (HZSK) |1|"
"Lexical Computing","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Libris","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Lingit AS","","","",1,1,"CLARINO NB – Språkbanken |1|"
"Lingsoft","","","",13,0,""
"Linguistic Department Radboud University Nijmegen","","","",1,1,"CollBank |1|"
"Linguistics and Cultures, School of Languages","","","",448,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |448|"
"Linguistics, UC Berkeley","","","",24,1,"Donated Corpora : Esan Corpus |24|"
"Lingüística, CCH, Museu P.E. Goeldi","","","",186,1,"DoBeS archive : Sudeste de Rondonia - Southeastern Rondonia |186|"
"Linköping University","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Lionbridge","","","",3,0,""
"Lomonosov Moscow State University","","","",1,0,""
"Ludwig Maximilian University Munich","","","",4,1,"IMS, CLARIN-D Centre, University of Stuttgart |4|"
"Ludwig-Maximilians-Universität München","","","",8,4,"Bavarian Archive for Speech Signals (BAS) |2| # DoBeS archive : Kola Saami Documentation Project |1| # DoBeS archive : Minderico |1|"
"Ludwig-Maximilians-Universität, LIPP","","","",2,2,"AGD |1| # Archiv für Gesprochenes Deutsch |1|"
"Ludwig-Uhland-Institut","","","",1,1,"Ludwig-Uhland-Institut für Empirische Kulturwissenschaft |1|"
"Lumen, Barcelona","","","",1,1,"CLARINO Bergen Centre |1|"
"Lundbeck","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Lungleng Primary School","","","",5,1,"DoBeS archive : Chintang and Puma Documentation Project |5|"
"MENOTA - Medieval Nordic Text Archive","","","",1,1,"CLARINO Bergen Centre |1|"
"MPEG, NWO, RUN","","","",6,1,"DoBeS archive : Sudeste de Rondonia - Southeastern Rondonia |6|"
"MPG","","","",9,2,"DoBeS archive : Marquesan team |1| # MPI corpora : Language and Cognition : oceania : Papua New Guinea : Kilivila |7|"
"MPI","","","",189,14,"DoBeS archive : Savosavo and Gela |10| # DoBeS archive : Tsafiki project |1| # DoBeS archive : Yurakaré |12|"
"MPI and Radboud University Centre for Language Studies","","","",2,1,"Donated Corpora : ACORNS |1|"
"MPI f. evol. Anthropologie","","","",46,1,"DoBeS archive : Cashinahua project |46|"
"MPI for Evolutianary Anthropology","","","",14,1,"DoBeS archive : Even |14|"
"MPI for Evolutionary Anthropology","","","",1,1,"DoBeS archive : Even |1|"
"MPI for Evolutionary Anthropology, MPG","","","",1,1,"DoBeS archive : Even |1|"
"MPI for Human Development, MPG","","","",2745,1,"MPI für Bildungsforschung |2745|"
"MPI for Psycholinguistics (Nijmegen, Netherlands), University of Kiel (Germany)","","","",1,1,"DoBeS archive : Marquesan team |1|"
"MPI für Bildungsforschung, MPG","","","",2201,2,"Humanethologisches Filmarchiv |1| # MPI für Bildungsforschung |2200|"
"MPI für Evolutionäre Anthropologie, MPG","","","",158,2,"DoBeS archive : Even |11| # DoBeS archive : Savosavo and Gela |147|"
"MPI-EVA Jakarta Field Station","","","",395,1,"MPI EVA corpora : Jakarta Field Station |394|"
"MPI-EVA Leipzig","","","",1,1,"DoBeS archive : Kola Saami Documentation Project |1|"
"MPI-Leipyig","","","",11,1,"DoBeS archive : Bena Bena |11|"
"Madibas Primary School","","","",1,1,"DoBeS archive : Chintang and Puma Documentation Project |1|"
"Madison University","","","",6,1,"DoBeS archive : Hoocąk |6|"
"Maersk","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"Maeva, Madrid","","","",1,1,"CLARINO Bergen Centre |1|"
"Magasinet Ejendom","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Magdeburg-Stendal University of Applied Sciences","","","",3,1,"Sign Language : ECHO - Sign Language |3|"
"Mangamania/Melos","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Mantan Kepala Dinas Pariwisata Toli-Toli, Mantan Kepala Dikjar Toli-Toli","","","",19,1,"DoBeS archive : Totoli |19|"
"Masaryk University, Brno","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Matteo Grella","","","",5,2,"LINDAT / CLARIN Data & Tools |1| # LRT + Open Submissions Data & Tools |4|"
"Max Planck Institut für Psychlinguistik","","","",11,2,"MPI corpora : Acquisition : L1 Acquisition : Stoll corpora |2| # MPI corpora : Language and Cognition : northamerica : inuktitut : Allen |9|"
"Max Planck Institute Nijmegen","","","",6,0,""
"Max Planck Institute for Evolutionary Anthropology","","","",2086,7,"DoBeS archive : Cashinahua project |193| # DoBeS archive : Even |81| # DoBeS archive : Hoocąk |95|"
"Max Planck Institute for Psycho-Linguistics","","","",1,1,"Donated Corpora : Slips of the tongue data |1|"
"Max Planck Institute for Psycholinguistics","","","",9412,110,"CLARIN Virtual Collection Registry |2| # CollBank |2| # DBD |3|"
"Max Planck Institute for Psycholinguistics & Max Planck Institute for Evolutionary Anthropology","","","",8,1,"DoBeS archive : Even |8|"
"Max Planck Institute for Psycholinguistics (Nijmegen)","","","",1,0,""
"Max Planck Institute for Psycholinguistics (Nijmegen, the Netherlands)","","","",5,2,"MPI corpora : Language and Cognition : europe : Dutch : Majid |2| # MPI corpora : Language and Cognition : northamerica : English : Majid |1|"
"Max Planck Institute for Psycholinguistics, Nijmegen, The Netherlands","","","",2,2,"DoBeS archive : Kurumba |1| # MPI corpora : Psychology of Language : MentalMath |1|"
"Max Planck Institute for Psycholinguistics, Nijmegen, the Netherlands","","","",1,1,"MPI corpora : Neurogenetics of Vocal Communication |1|"
"Max Planck Institute for Psycholinguistics, Nilmegen, The Netherlands","","","",1,1,"DoBeS archive : Kurumba |1|"
"Max Planck Institute for Psycholinguistik","","","",1,0,""
"Max Planck Institute, Nijmegen","","","",7,2,"INT |2| # MPI corpora : Neurobiology of language : IBIG2 |5|"
"Max Planck Instute for Psycholinguistics","","","",3,1,"MPI corpora : Language and Cognition : Projects : Breathing |3|"
"Max Plank Institue, Nijmegen, the Netherlands","","","",1,1,"DoBeS archive : Kurumba |1|"
"Max-Planck-Institut für Psycholinguistik","","","",345,3,"MPI corpora : Acquisition : L1 Acquisition : Anke Jolink |101| # MPI corpora : Language and Cognition : Gesture Projects : Sassenberg |37| # MPI corpora : Language and Cognition : africa : Goemai : Hellwig |207|"
"Max-Planck-Institute for Evolutionary Anthropology","","","",7,1,"DoBeS archive : Cashinahua project |7|"
"Max-Planck-Institüt für Psucholinguïstik","","","",4,1,"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Yele |4|"
"Max-Planck-Institüt für Psychlinguïstik","","","",5,1,"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Yele |5|"
"Max-Planck-Institüt für Psycholinguïstiek","","","",1,1,"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Yele |1|"
"Max-Planck-Institüt für Psycholinguïstik","","","",177,1,"MPI corpora : Language and Cognition : oceania : Papua New Guinea : Yele |177|"
"Meertens Institute","","","",4,3,"CollBank |2| # Meertens Collection: GBA-derived |1| # Meertens Collections: ToolService |1|"
"Meertens Instituut","","","",127,5,"DBD |94| # Meertens Collection: Diversity in Dutch DP Design (DiDDD) |1| # Meertens Collection: Dynamische Fonologische en Morfologische Atlas van de Nederlandse Dialecten (GTRP) |1|"
"Meertens Instituut-KNAW","","","",1,1,"CollBank |1|"
"Mesoamerican Studies, Archaeological Institute","","","",26,1,"DoBeS archive : Chontal |26|"
"Mikkeli University of Applied Sciences","","","",1,0,""
"Miljøstyrelsen","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Ministeriet for Sundhed og Forebyggelse","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Ministry of Foreign Affairs","","","",2,1,"CLARINO NB – Språkbanken |2|"
"Mirima Dawang Woorlab-gerring, Kununurra","","","",1,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |1|"
